Date,Year,Quarter,Yield
01/01/2008,2008,1,130842
01/04/2008,2008,2,82256
01/07/2008,2008,3,45291
01/10/2008,2008,4,768900
01/01/2009,2009,1,151798
01/04/2009,2009,2,93014
01/07/2009,2009,3,48879
01/10/2009,2009,4,508417
01/01/2010,2010,1,184587
01/04/2010,2010,2,83576
01/07/2010,2010,3,47243
01/10/2010,2010,4,625294
01/01/2011,2011,1,188196
01/04/2011,2011,2,98140
01/07/2011,2011,3,35436
01/10/2011,2011,4,636498
01/01/2012,2012,1,217453
01/04/2012,2012,2,109044
01/07/2012,2012,3,65025
01/10/2012,2012,4,666058
01/01/2013,2013,1,216546
01/04/2013,2013,2,106601
01/07/2013,2013,3,58478
01/10/2013,2013,4,683411
01/01/2014,2014,1,221302
01/04/2014,2014,2,116191
01/07/2014,2014,3,69147
01/10/2014,2014,4,707085
01/01/2015,2015,1,228872
01/04/2015,2015,2,113872
01/07/2015,2015,3,37705
01/10/2015,2015,4,700708
01/01/2016,2016,1,226757
01/04/2016,2016,2,105307
01/07/2016,2016,3,80506
01/10/2016,2016,4,697995
01/01/2017,2017,1,233143
01/04/2017,2017,2,123083
01/07/2017,2017,3,102239
01/10/2017,2017,4,666600
01/01/2018,2018,1,227883
01/04/2018,2018,2,120589
01/07/2018,2018,3,85641
01/10/2018,2018,4,642926
01/01/2019,2019,1,229460
01/04/2019,2019,2,115714
01/07/2019,2019,3,95857
01/10/2019,2019,4,663361
01/01/2020,2020,1,224067
01/04/2020,2020,2,117967
01/07/2020,2020,3,90157
01/10/2020,2020,4,703188
01/01/2021,2021,1,231424
01/04/2021,2021,2,127808
01/07/2021,2021,3,88818
01/10/2021,2021,4,714586
01/01/2022,2022,1,236457
01/04/2022,2022,2,128583
01/07/2022,2022,3,90150
01/10/2022,2022,4,763743
01/01/2023,2023,1,230899
01/04/2023,2023,2,124475
01/07/2023,2023,3,99537.42
01/10/2023,2023,4,776726.63
01/01/2024,2024,1,226320
01/04/2024,2024,2,122596
01/07/2024,2024,3,98910
01/10/2024,2024,4,765844
01/01/2025,2025,1,232807
01/04/2025,2025,2,118584
01/07/2025,2025,3,105543.97
